Original_Workload,Predicted_Workload
60,1003.6511
50,1003.65875
50,1003.6597
70,1003.6533
70,1003.6555
50,1003.6598
70,1003.6533
50,1003.6593
60,1003.6579
70,1003.64746
70,1003.6454
70,1003.6537
60,1003.6576
70,1003.6524
70,1003.63806
60,1003.65576
50,1003.6587
60,1003.65735
60,1003.65784
60,1003.6536
50,1003.6596
50,1003.66
60,1003.6588
70,1003.65485
50,1003.6591
60,1003.65594
50,1003.6585
60,1003.6576
50,1003.6579
60,1003.6512
70,1003.65625
60,1003.6553
50,1003.65735
50,1003.65875
50,1003.6585
60,1003.65625
60,1003.657
60,1003.6579
70,1003.6569
70,1003.6569
60,1003.6577
70,1003.659
60,1003.6565
70,1003.65875
70,1003.6451
60,1003.6588
60,1003.6522
50,1003.65875
50,1003.6597
60,1003.6538
70,1003.64905
50,1003.65967
60,1003.6581
50,1003.6584
70,1003.6453
60,1003.6569
50,1003.65955
50,1003.6587
60,1003.6529
70,1003.65173
50,1003.6594
50,1003.6591
60,1003.65576
60,1003.6587
50,1003.6593
60,1003.6573
70,1003.6532
70,1003.6587
50,1003.6588
50,1003.6596
50,1003.65875
60,1003.65186
50,1003.6591
70,1003.64514
50,1003.659
60,1003.6577
60,1003.6576
50,1003.6598
50,1003.65894
70,1003.6544
70,1003.6585
60,1003.6584
50,1003.6585
70,1003.655
50,1003.6587
60,1003.6584
50,1003.6579
60,1003.6542
50,1003.6591
60,1003.6585
50,1003.6593
70,1003.6532
70,1003.6587
60,1003.65576
60,1003.6579
50,1003.6591
50,1003.65796
70,1003.6584
60,1003.65546
50,1003.6598
50,1003.6587
70,1003.6537
50,1003.6591
60,1003.6526
50,1003.6585
60,1003.65576
70,1003.6573
70,1003.64777
70,1003.6582
50,1003.6579
50,1003.6593
60,1003.6584
60,1003.65515
60,1003.6584
50,1003.6588
70,1003.65186
60,1003.6585
70,1003.6498
60,1003.6564
60,1003.65686
50,1003.6591
50,1003.65784
50,1003.6584
60,1003.6576
50,1003.65814
60,1003.65686
60,1003.6564
60,1003.652
